                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1634,                 4.1207,                 1.0078,                0.00828,                0.80765,                0.22788,                0.15068,                 1.0124,                 3.7539,                 0.9047,             0.00032857,             0.00032857,             0.00032857
                      2,                 1.0227,                 2.2007,                0.95541,                 0.3801,                0.41215,                0.44761,                0.30541,                 1.0533,                 1.9885,                0.97743,             0.00065535,             0.00065535,             0.00065535
                      3,                  1.036,                 1.8995,                0.95262,                0.43056,                 0.5235,                0.50698,                0.34818,                 1.0239,                 1.3455,                0.95939,             0.00097553,             0.00097553,             0.00097553
                      4,                 1.0475,                 1.6826,                0.95613,                0.42631,                0.51236,                0.49932,                 0.3399,                 1.0272,                 1.2895,                0.99473,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0233,                 1.4018,                0.95148,                 0.5005,                0.69137,                0.60907,                0.43329,                0.96289,                 1.0209,                0.94477,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0185,                 1.3289,                0.95594,                 0.6016,                0.64648,                0.65794,                0.48706,                0.95987,                  0.983,                0.94709,              0.0009505,              0.0009505,              0.0009505
                      7,                0.96201,                 1.1134,                0.93863,                0.54617,                0.83999,                0.69249,                0.51119,                0.95705,                 0.8611,                0.94302,              0.0009406,              0.0009406,              0.0009406
                      8,                0.97166,                 1.0836,                0.93778,                0.64621,                0.64735,                0.68461,                0.51274,                0.95021,                0.86643,                 0.9572,              0.0009307,              0.0009307,              0.0009307
                      9,                0.94989,                 1.0624,                0.94158,                0.64008,                0.70786,                 0.6976,                0.50977,                0.95017,                0.83777,                0.96183,              0.0009208,              0.0009208,              0.0009208
                     10,                0.93882,                0.95488,                0.93134,                0.78038,                0.64488,                0.71915,                0.54318,                0.95854,                0.84655,                0.94357,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.9246,                0.90424,                0.92858,                 0.6283,                0.74001,                0.73111,                0.54214,                 0.9091,                0.81349,                0.93535,               0.000901,               0.000901,               0.000901
                     12,                0.89352,                0.83213,                0.90715,                0.81354,                 0.6616,                0.77044,                0.56452,                0.92866,                0.80176,                0.94452,              0.0008911,              0.0008911,              0.0008911
                     13,                0.92914,                0.87271,                0.92552,                0.75035,                0.74969,                0.77465,                0.57972,                0.91661,                0.78098,                0.93218,              0.0008812,              0.0008812,              0.0008812
                     14,                0.90338,                0.79978,                0.92741,                0.72995,                0.72929,                 0.7696,                0.58029,                0.90725,                0.74618,                 0.9325,              0.0008713,              0.0008713,              0.0008713
                     15,                0.89485,                0.79178,                0.91537,                0.75658,                0.73746,                0.76855,                0.57442,                0.93832,                0.79091,                0.94204,              0.0008614,              0.0008614,              0.0008614
                     16,                0.88495,                0.80751,                0.91666,                0.89346,                0.63194,                0.77237,                0.58861,                0.91631,                 0.7594,                0.93349,              0.0008515,              0.0008515,              0.0008515
                     17,                 0.8634,                0.75017,                0.92202,                0.80328,                0.74904,                0.83104,                0.63788,                0.89828,                0.72869,                0.93679,              0.0008416,              0.0008416,              0.0008416
                     18,                0.89813,                0.78736,                0.92814,                0.70074,                0.77497,                0.78586,                0.60217,                  0.876,                0.72812,                0.92092,              0.0008317,              0.0008317,              0.0008317
                     19,                0.88766,                0.73308,                0.90765,                0.87136,                0.72727,                0.83304,                0.64685,                0.86089,                 0.7157,                0.92632,              0.0008218,              0.0008218,              0.0008218
                     20,                0.87062,                0.73453,                0.91685,                0.74886,                 0.7821,                0.78858,                0.59031,                0.90229,                0.77891,                0.93191,              0.0008119,              0.0008119,              0.0008119
                     21,                0.86506,                0.73677,                0.90568,                 0.7867,                0.71449,                 0.7975,                0.61597,                0.90682,                0.68192,                0.93339,               0.000802,               0.000802,               0.000802
                     22,                0.85884,                0.70431,                0.91572,                0.65889,                0.72459,                  0.735,                0.54387,                 0.9388,                 0.7431,                0.93961,              0.0007921,              0.0007921,              0.0007921
                     23,                0.88677,                0.70459,                0.91313,                0.81713,                0.75028,                0.80613,                0.60832,                0.92149,                0.68058,                0.93357,              0.0007822,              0.0007822,              0.0007822
                     24,                0.86923,                0.69057,                0.91967,                0.77723,                0.80264,                0.85349,                0.64467,                0.89964,                0.69393,                0.92902,              0.0007723,              0.0007723,              0.0007723
                     25,                0.86123,                0.69711,                0.90936,                0.79351,                0.70104,                0.80737,                 0.6055,                0.90092,                0.67724,                0.92277,              0.0007624,              0.0007624,              0.0007624
                     26,                0.86497,                0.69972,                0.90392,                0.75613,                0.84841,                0.84499,                0.65703,                0.88952,                0.69945,                 0.9295,              0.0007525,              0.0007525,              0.0007525
                     27,                0.85961,                0.65875,                0.90569,                0.78484,                0.78449,                0.83174,                0.63789,                0.91404,                0.66543,                0.93446,              0.0007426,              0.0007426,              0.0007426
                     28,                0.84816,                0.64174,                0.90461,                0.77306,                 0.7042,                0.79141,                0.60404,                0.86985,                0.65316,                0.92467,              0.0007327,              0.0007327,              0.0007327
                     29,                0.87127,                 0.6996,                0.90182,                0.79104,                0.71273,                0.78958,                0.59431,                0.88584,                0.69209,                0.92379,              0.0007228,              0.0007228,              0.0007228
                     30,                0.83526,                0.62877,                0.90402,                0.83165,                0.77945,                0.85061,                0.64089,                0.86922,                0.65947,                0.92666,              0.0007129,              0.0007129,              0.0007129
                     31,                0.83466,                0.64901,                0.89711,                0.86543,                0.66001,                0.78071,                0.58775,                0.86845,                0.69892,                0.92018,               0.000703,               0.000703,               0.000703
                     32,                  0.825,                0.63288,                 0.8926,                0.82035,                0.66871,                 0.8093,                0.62482,                0.87221,                0.67213,                0.92063,              0.0006931,              0.0006931,              0.0006931
                     33,                0.82226,                0.61424,                0.89015,                0.82504,                0.72544,                0.81597,                0.62822,                0.87727,                0.69454,                0.92723,              0.0006832,              0.0006832,              0.0006832
