                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.343,                 6.1709,                 1.1439,                      0,                      0,                      0,                      0,                 1.2061,                 5.7427,                  1.051,                  9e-05,                  9e-05,                  9e-05
                      2,                 1.2178,                 5.1757,                 1.0113,                0.00676,                0.04651,                0.00354,                0.00124,                 1.2166,                 5.3435,                0.92929,             0.00018624,             0.00018624,             0.00018624
                      3,                 1.1615,                 3.5276,                0.96618,                 0.0447,                0.62791,                0.35671,                0.23884,                 1.1882,                 4.7298,                0.94513,             0.00027852,             0.00027852,             0.00027852
                      4,                 1.1455,                 2.9891,                0.98878,                0.02993,                0.62791,                0.32781,                0.23809,                 1.1269,                 4.6749,                0.94567,             0.00036683,             0.00036683,             0.00036683
                      5,                 1.0853,                 2.8881,                 0.9462,                0.01332,                0.46512,                 0.2627,                0.17611,                 1.2598,                 4.6624,                 1.0255,             0.00045119,             0.00045119,             0.00045119
                      6,                 1.0335,                 2.4295,                0.96353,                0.00627,                0.18605,                0.09124,                0.07232,                  1.144,                  4.857,                 1.0072,             0.00053159,             0.00053159,             0.00053159
                      7,                      1,                 2.3439,                0.97087,                0.83103,                0.11628,                0.36949,                0.27503,                 1.1314,                 4.2196,                  1.009,             0.00060803,             0.00060803,             0.00060803
                      8,                 1.0849,                 2.3862,                 1.0057,                 0.0318,                0.62791,                0.45361,                0.33763,                 1.0666,                 4.1352,                 1.0077,             0.00068051,             0.00068051,             0.00068051
                      9,                 1.0556,                 2.2571,                0.97822,                0.82743,                0.33482,                0.68049,                0.50358,                 1.0957,                 3.3233,                 1.0607,             0.00074902,             0.00074902,             0.00074902
                     10,                 1.0228,                 2.0248,                0.96697,                0.80864,                0.19709,                0.68925,                0.49235,                 1.1989,                 3.2525,                 1.1161,             0.00081358,             0.00081358,             0.00081358
                     11,                 1.0686,                 1.9076,                0.98619,                0.79934,                0.55593,                0.71789,                0.51881,                 1.2038,                 2.7571,                 1.1374,               0.000802,               0.000802,               0.000802
                     12,                 1.0571,                 1.7246,                0.97331,                0.79548,                0.54289,                0.71548,                0.50313,                 1.1769,                 2.4398,                 1.0875,              0.0007822,              0.0007822,              0.0007822
                     13,                 0.9894,                 1.8062,                0.95099,                0.70504,                0.83721,                 0.7713,                0.52648,                  1.209,                 1.9353,                  1.077,              0.0007624,              0.0007624,              0.0007624
                     14,                0.96732,                 1.7351,                0.96463,                0.76109,                0.81494,                0.80328,                0.59041,                  1.152,                 1.6886,                 1.1025,              0.0007426,              0.0007426,              0.0007426
                     15,                0.95039,                 1.7115,                0.91809,                0.82294,                0.81395,                0.82535,                0.57263,                 1.1651,                 1.5228,                 1.1189,              0.0007228,              0.0007228,              0.0007228
                     16,                0.94709,                 1.5303,                0.92462,                0.79084,                 0.7907,                0.81527,                0.57285,                 1.1143,                 1.2714,                 1.1278,               0.000703,               0.000703,               0.000703
                     17,                0.95987,                 1.6574,                0.95473,                0.73482,                0.81395,                0.81761,                0.58416,                 1.1236,                 1.3239,                 1.1319,              0.0006832,              0.0006832,              0.0006832
                     18,                0.97848,                 1.4384,                0.92916,                0.64921,                0.88372,                0.82912,                0.56159,                  1.226,                 1.2844,                 1.1544,              0.0006634,              0.0006634,              0.0006634
                     19,                0.85239,                 1.4947,                0.91504,                0.70276,                0.88372,                0.82043,                0.59308,                 1.1366,                 1.4164,                 1.1225,              0.0006436,              0.0006436,              0.0006436
                     20,                0.89657,                 1.2463,                 0.9207,                0.70032,                0.93023,                0.80759,                0.57551,                  1.096,                 1.2744,                 1.0642,              0.0006238,              0.0006238,              0.0006238
                     21,                0.88576,                 1.4693,                0.94658,                0.73245,                0.72093,                0.76358,                0.56283,                 1.0776,                 1.4846,                 1.0788,               0.000604,               0.000604,               0.000604
                     22,                0.87282,                 1.3896,                0.90764,                0.78304,                0.83939,                0.82721,                0.59178,                 1.0798,                  1.228,                 1.1109,              0.0005842,              0.0005842,              0.0005842
                     23,                0.83576,                 1.2331,                0.90243,                0.71798,                0.83721,                0.82699,                0.59207,                 1.0639,                 1.2692,                 1.0956,              0.0005644,              0.0005644,              0.0005644
                     24,                0.81651,                 1.2246,                0.89265,                0.71954,                0.83535,                0.86507,                0.63353,                 1.0828,                   1.12,                 1.1029,              0.0005446,              0.0005446,              0.0005446
                     25,                0.90542,                 1.2704,                0.92421,                0.79299,                 0.7907,                0.87482,                0.61372,                 1.1528,                  1.055,                 1.1322,              0.0005248,              0.0005248,              0.0005248
                     26,                0.88072,                 1.2544,                0.93022,                  0.813,                0.93023,                 0.8983,                0.66591,                 1.0862,                0.97462,                 1.1111,               0.000505,               0.000505,               0.000505
                     27,                0.81026,                 1.2701,                0.90074,                0.76972,                0.95349,                0.88222,                0.66144,                 1.0782,                0.95111,                 1.0891,              0.0004852,              0.0004852,              0.0004852
                     28,                0.85158,                  1.188,                0.90124,                0.76828,                0.95349,                0.86542,                0.63272,                 1.0491,                0.97412,                  1.074,              0.0004654,              0.0004654,              0.0004654
                     29,                0.85582,                 1.2314,                0.89111,                0.79972,                0.92863,                0.85405,                0.60869,                  1.092,                 1.0073,                 1.1108,              0.0004456,              0.0004456,              0.0004456
                     30,                0.85476,                 1.1427,                0.90555,                 0.7332,                0.89483,                0.84326,                0.62189,                 1.0377,                 1.0527,                 1.1113,              0.0004258,              0.0004258,              0.0004258
                     31,                0.85522,                 1.1145,                0.91457,                0.74699,                 0.8927,                0.85587,                0.62439,                 1.0444,                0.99547,                 1.1138,               0.000406,               0.000406,               0.000406
                     32,                 0.8114,                 1.1358,                0.89199,                0.76444,                0.90567,                0.86217,                0.62119,                 1.0888,                 1.0046,                 1.1311,              0.0003862,              0.0003862,              0.0003862
                     33,                0.83803,                 1.1308,                0.88348,                0.75767,                0.90698,                0.88592,                0.63034,                 1.0755,                 1.0076,                 1.1253,              0.0003664,              0.0003664,              0.0003664
                     34,                0.72141,                  1.047,                0.85841,                0.77064,                0.93774,                0.89952,                0.62704,                 1.0919,                0.94656,                 1.1209,              0.0003466,              0.0003466,              0.0003466
                     35,                 0.7548,                 1.0417,                0.85272,                0.84395,                0.93023,                0.90421,                0.63948,                  1.049,                0.94126,                  1.111,              0.0003268,              0.0003268,              0.0003268
                     36,                0.70773,                 1.0076,                0.86512,                0.80278,                0.90698,                0.87836,                0.63841,                0.99935,                0.95466,                 1.0882,               0.000307,               0.000307,               0.000307
                     37,                0.68359,                0.91817,                0.84176,                0.80054,                0.90698,                0.88046,                0.64894,                 1.0077,                0.94198,                 1.1068,              0.0002872,              0.0002872,              0.0002872
                     38,                0.74107,                0.97535,                0.87012,                0.81357,                0.91349,                0.88649,                0.64412,                 1.0421,                0.94395,                 1.1143,              0.0002674,              0.0002674,              0.0002674
                     39,                0.77575,                0.98382,                0.87521,                0.79612,                0.90814,                0.88284,                0.64993,                 1.0605,                0.94378,                 1.1141,              0.0002476,              0.0002476,              0.0002476
                     40,                 0.7024,                 0.9914,                0.85805,                 0.8192,                0.88372,                0.89042,                 0.6454,                 1.0741,                 0.9361,                 1.1252,              0.0002278,              0.0002278,              0.0002278
                     41,                0.71172,                 1.0451,                0.85672,                 0.8254,                 0.8796,                0.88501,                0.63298,                 1.0548,                0.92472,                 1.1148,               0.000208,               0.000208,               0.000208
                     42,                0.67372,                 1.1304,                0.86684,                0.77102,                0.93981,                0.86756,                 0.6221,                 1.0591,                0.95319,                 1.1122,              0.0001882,              0.0001882,              0.0001882
                     43,                0.67909,                 1.1125,                0.88049,                0.78687,                0.94457,                0.86903,                0.62496,                 1.0501,                0.92857,                 1.1096,              0.0001684,              0.0001684,              0.0001684
                     44,                0.66179,                 1.0343,                0.83628,                0.78776,                0.95349,                 0.8788,                0.64342,                 1.0346,                0.89123,                 1.0968,              0.0001486,              0.0001486,              0.0001486
                     45,                0.65187,                 1.0505,                0.85429,                0.81889,                0.95349,                0.88129,                 0.6502,                 1.0549,                0.88911,                 1.1023,              0.0001288,              0.0001288,              0.0001288
                     46,                0.66224,                 1.0286,                  0.854,                0.79204,                0.93023,                0.88977,                0.65304,                 1.0336,                0.89979,                 1.1067,               0.000109,               0.000109,               0.000109
                     47,                0.70874,                 1.0883,                0.87209,                0.78501,                0.93413,                0.89337,                0.65432,                 1.0403,                0.91954,                 1.1156,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.66748,                0.99693,                0.89098,                 0.7879,                0.95349,                 0.8955,                0.65311,                 1.0336,                0.92415,                 1.1081,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.63698,                 1.0174,                0.85909,                0.78571,                0.93023,                0.89685,                0.66467,                 1.0262,                0.91808,                 1.1014,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.61505,                0.97973,                0.87055,                0.80326,                0.94958,                0.89769,                0.65791,                 1.0277,                0.90935,                 1.1084,               2.98e-05,               2.98e-05,               2.98e-05
